Race,County,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,ADDISON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,GRAND ISLE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ORANGE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ORLEANS,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,RUTLAND,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,WASHINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,WINDHAM,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,WINDSOR,T.J. DONOVAN,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ADDISON,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,BENNINGTON,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,CALEDONIA,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,CHITTENDEN,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ESSEX,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,FRANKLIN,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,GRAND ISLE,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,LAMOILLE,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ORANGE,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ORLEANS,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,RUTLAND,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,WASHINGTON,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,WINDHAM,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,WINDSOR,DOUG HOFFER,Dem,0%,0,0,275,false
GOVERNOR,ADDISON,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,BENNINGTON,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,CALEDONIA,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,CHITTENDEN,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,ESSEX,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,FRANKLIN,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,GRAND ISLE,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,LAMOILLE,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,ORANGE,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,ORLEANS,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,RUTLAND,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,WASHINGTON,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,WINDHAM,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,WINDSOR,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,ADDISON,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,BENNINGTON,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,CALEDONIA,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,CHITTENDEN,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,ESSEX,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,FRANKLIN,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,GRAND ISLE,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,LAMOILLE,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,ORANGE,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,ORLEANS,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,RUTLAND,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,WASHINGTON,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,WINDHAM,WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR,WINDSOR,WAYNE BILLADO III,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,ADDISON,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,BENNINGTON,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,CALEDONIA,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,CHITTENDEN,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,ESSEX,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,FRANKLIN,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,GRAND ISLE,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,LAMOILLE,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,ORANGE,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,ORLEANS,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,RUTLAND,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,WASHINGTON,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,WINDHAM,PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS,WINDSOR,PETER R. BECKER,Other,0%,0,0,275,false
SECRETARY OF STATE,ADDISON,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,BENNINGTON,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,CALEDONIA,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,CHITTENDEN,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,ESSEX,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,FRANKLIN,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,GRAND ISLE,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,LAMOILLE,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,ORANGE,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,ORLEANS,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,RUTLAND,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,WASHINGTON,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,WINDHAM,PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE,WINDSOR,PAMALA SMITH,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON,KEVIN P. DOERING,Other,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON,PETER J. BRADY SR,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA,FRANK HUARD,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN,TOMAS CUMMINGS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ESSEX,PAUL LEFEBVRE,Other,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN,WAYNE BILLADO III,Other,0%,0,0,275,false
STATE REPRESENTATIVE,GRAND ISLE,MITZI JOHNSON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE,MARK A. HIGLEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE,KEVIN P. DOERING,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS,FRANK HUARD,Other,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND,TYLER-JOSEPH BALLARD,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON,KEVIN P. DOERING,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM,RYAN COYNE,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR,JOHN ARRISON,Dem,0%,0,0,275,false
STATE SENATOR,ADDISON,RUTH HARDY,Dem,0%,0,0,275,false
STATE SENATOR,BENNINGTON,KEVIN HOYT,Other,0%,0,0,275,false
STATE SENATOR,CALEDONIA,JANE KITCHEL,Dem,0%,0,0,275,false
STATE SENATOR,CHITTENDEN,JAMES EHLERS,Other,0%,0,0,275,false
STATE SENATOR,ESSEX,JOHN S. RODGERS,Other,0%,0,0,275,false
STATE SENATOR,FRANKLIN,WAYNE BILLADO III,Other,0%,0,0,275,false
STATE SENATOR,GRAND ISLE,WAYNE BILLADO III,Other,0%,0,0,275,false
STATE SENATOR,LAMOILLE,JOHN S. RODGERS,Other,0%,0,0,275,false
STATE SENATOR,ORANGE,MARK A. MACDONALD,Dem,0%,0,0,275,false
STATE SENATOR,ORLEANS,JOHN S. RODGERS,Other,0%,0,0,275,false
STATE SENATOR,RUTLAND,BRITTANY D. CAVACAS,Other,0%,0,0,275,false
STATE SENATOR,WASHINGTON,PAUL VALLERAND,Other,0%,0,0,275,false
STATE SENATOR,WINDHAM,TYLER COLFORD,Other,0%,0,0,275,false
STATE SENATOR,WINDSOR,KEITH STERN,Other,0%,0,0,275,false
STATE TREASURER,ADDISON,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,BENNINGTON,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,CALEDONIA,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,CHITTENDEN,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,ESSEX,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,FRANKLIN,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,GRAND ISLE,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,LAMOILLE,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,ORANGE,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,ORLEANS,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,RUTLAND,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,WASHINGTON,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,WINDHAM,ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER,WINDSOR,ALEX WRIGHT,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,ADDISON,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,BENNINGTON,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,CALEDONIA,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,CHITTENDEN,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,ESSEX,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,FRANKLIN,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,GRAND ISLE,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,LAMOILLE,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,ORANGE,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,ORLEANS,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,RUTLAND,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,WASHINGTON,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,WINDHAM,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT,WINDSOR,"ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
