Race,Office District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,KATHERINE SIMS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,JOHN ELWELL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,VICKI STRONG,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,JEANNINE A. YOUNG,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-LAMOILLE REP,MARK A. HIGLEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 1 REP,TYLER-JOSEPH BALLARD,Other,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 1 REP,PATRICIA A. MCCOY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,DAVE POTTER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,KEN FREDETTE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,ARTHUR PETERSON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,TOM BURDITT,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 3 REP,"ROBERT ""BOB"" RICHARDS",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 3 REP,"WILLIAM ""BILL"" CANFIELD",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 3 REP,"ROBERT ""BOB"" HELM",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 4 REP,BARBARA NOYES PULLING,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 4 REP,THOMAS TERENZINI,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-1 REP,PETER J. FAGAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-2 REP,"LARRY ""COOPER"" CUPOLI",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-3 REP,MARY E. HOWARD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-3 REP,JOHN P. CIOFFI JR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-4 REP,WILLIAM NOTTE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-4 REP,SHERRI PROUTY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 6 REP,STEPHANIE Z. JEROME,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 6 REP,"CHARLES ""BUTCH"" SHAW",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 6 REP,DAVID SOULIA,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-BENNINGTON REP,ROBIN CHESNUT-TANGERMAN,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-BENNINGTON REP,SALLY ACHEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-WINDSOR 1 REP,JIM HARRISON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-WINDSOR 2 REP,LOGAN NICOLL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,DENISE MACMARTIN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,"ROBERT ""ROB"" LEHMERT",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,ANNE B. DONAHUE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,KENNETH W. GOSLANT,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,GORDON BOCK,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 2 REP,"FRANCIS ""TOPPER"" MCFAUN",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 2 REP,ROB LACLAIR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,PETER D. ANTHONY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,TOMMY WALZ,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,JOHN STEINMAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,KAREN LAUZON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 4 REP,MARY S. HOOPER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 4 REP,WARREN KITZMILLER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 4 REP,GLENNIE FITZGERALD SEWELL,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 5 REP,MATTHEW S. SELLERS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 5 REP,KIMBERLY JESSUP,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 6 REP,LEWIS G. GRAHAM JR,VETS FOR VETS,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 6 REP,JANET ANCEL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 7 REP,MAXINE GRAD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 7 REP,KARI DOLAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,CHRIS VIENS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,THERESA A. M. WOOD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,THOMAS STEVENS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,BROCK CODERRE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 1 REP,SARA COFFEY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-1 REP,EMILIE KORNHEISER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-1 REP,RICHARD MORTON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-2 REP,MOLLIE S. BURKE,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-3 REP,TRISTAN TOLENO,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 3 REP,RYAN COYNE,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 3 REP,LESLIE GOLDMAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 3 REP,CAROLYN W. PARTRIDGE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 4 REP,MIKE MROWICKI,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 4 REP,MICHELLE BOS-LUN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 5 REP,EMILY LONG,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 6 REP,JOHN GANNON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 6 REP,AMY KAMSTRA,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM-BENNINGTON REP,LAURA SIBILIA,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM-BENNINGTON REP,MATTHEW SOMERVILLE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM-BENNINGTON-WINDSOR REP,KELLY MACLAURY PAJALA,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 1 REP,JOHN MACGOVERN,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 1 REP,JOHN BARTHOLOMEW,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 1 REP,ELIZABETH BURROWS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 1 REP,WESLEY RANEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 1 REP,JACOB HOLMES,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 2 REP,JOHN ARRISON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 2 REP,SEAN WHALEN,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 2 REP,MICHAEL F. KELL SR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 3-1 REP,THOMAS A. BOCK,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 3-1 REP,CHESTER ALDEN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 3-2 REP,KRISTI C. MORRIS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 3-2 REP,ALICE M. EMMONS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 3-2 REP,RANDY A. GRAY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 3-2 REP,STUART BEAM,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 4-1 REP,HEATHER SURPRENANT,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 4-1 REP,MARK DONKA,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 4-2 REP,REBECCA WHITE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 4-2 REP,"KEVIN ""COACH"" CHRISTIE",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 4-2 REP,ALICE FLANDERS,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 4-2 REP,NICHOLAS BRAMLAGE,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR 5 REP,CHARLIE KIMBELL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR-ORANGE 1 REP,JOHN O'BRIEN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR-ORANGE 2 REP,JIM MASLAND,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR-ORANGE 2 REP,TIM BRIGLIN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR-RUTLAND REP,KIRK WHITE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDSOR-RUTLAND REP,WAYNE D. TOWNSEND,GOP,0%,0,0,275,false
STATE SENATOR,ADDISON SENATE,RUTH HARDY,Dem,0%,0,0,275,false
STATE SENATOR,ADDISON SENATE,CHRISTOPHER BRAY,Dem,0%,0,0,275,false
STATE SENATOR,ADDISON SENATE,PETER BRIGGS,GOP,0%,0,0,275,false
STATE SENATOR,ADDISON SENATE,ARCHIE FLOWER,Other,0%,0,0,275,false
STATE SENATOR,ADDISON SENATE,JON CHRISTIANO,GOP,0%,0,0,275,false
STATE SENATOR,BENNINGTON SENATE,KEVIN HOYT,Other,0%,0,0,275,false
STATE SENATOR,BENNINGTON SENATE,DICK SEARS,Dem,0%,0,0,275,false
STATE SENATOR,BENNINGTON SENATE,BRIAN CAMPION,Dem,0%,0,0,275,false
STATE SENATOR,BENNINGTON SENATE,"MICHAEL ""MIKE"" HALL",GOP,0%,0,0,275,false
STATE SENATOR,BENNINGTON SENATE,MEG HANSEN,GOP,0%,0,0,275,false
STATE SENATOR,CALEDONIA SENATE,JANE KITCHEL,Dem,0%,0,0,275,false
STATE SENATOR,CALEDONIA SENATE,MATTHEW CHOATE,Dem,0%,0,0,275,false
STATE SENATOR,CALEDONIA SENATE,JOE BENNING,GOP,0%,0,0,275,false
STATE SENATOR,CALEDONIA SENATE,CHARLES W. WILSON,GOP,0%,0,0,275,false
STATE SENATOR,CALEDONIA SENATE,J.T. DODGE,Other,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,JAMES EHLERS,Other,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,TOM CHASTENAY,GOP,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,ERICKA REDIC,GOP,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,"VIRGINIA ""GINNY"" LYONS",Dem,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,KESHA RAM,Dem,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,MICHAEL SIROTKIN,Dem,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,PHIL BARUTH,Dem,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,THOMAS CHITTENDEN,Dem,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,CHRISTOPHER PEARSON,Prog,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,"KUMULIA ""KASE"" LONG",GOP,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,KYLIE HOLLINGSWORTH,GOP,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,DEAN ROLLAND,GOP,0%,0,0,275,false
STATE SENATOR,CHITTENDEN SENATE,SUSAN BOWEN,GOP,0%,0,0,275,false
STATE SENATOR,ESSEX-ORLEANS SENATE,JOHN S. RODGERS,Other,0%,0,0,275,false
STATE SENATOR,ESSEX-ORLEANS SENATE,ROBERT STARR,Dem,0%,0,0,275,false
STATE SENATOR,ESSEX-ORLEANS SENATE,RON HORTON,Dem,0%,0,0,275,false
STATE SENATOR,ESSEX-ORLEANS SENATE,RUSS INGALLS,GOP,0%,0,0,275,false
STATE SENATOR,ESSEX-ORLEANS SENATE,JONATHAN L. MORIN,GOP,0%,0,0,275,false
STATE SENATOR,FRANKLIN SENATE,WAYNE BILLADO III,Other,0%,0,0,275,false
STATE SENATOR,FRANKLIN SENATE,RANDY BROCK,GOP,0%,0,0,275,false
STATE SENATOR,FRANKLIN SENATE,COREY PARENT,GOP,0%,0,0,275,false
STATE SENATOR,FRANKLIN SENATE,CHLOE COLLINS,Prog,0%,0,0,275,false
STATE SENATOR,FRANKLIN SENATE,LUKE RICHTER,Prog,0%,0,0,275,false
STATE SENATOR,GRAND ISLE SENATE,"RICHARD ""DICK"" MAZZA",Dem,0%,0,0,275,false
STATE SENATOR,LAMOILLE SENATE,RICHARD A. WESTMAN,GOP,0%,0,0,275,false
STATE SENATOR,ORANGE SENATE,MARK A. MACDONALD,Dem,0%,0,0,275,false
STATE SENATOR,ORANGE SENATE,BILL T. HUFF,GOP,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,BRITTANY D. CAVACAS,Other,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,CASEY JENNINGS,Other,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,"RICHARD ""SENSEI"" LENCHUS",Other,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,MICHAEL SHANK,Other,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,CHERYL M. HOOKER,Dem,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,GREG COX,Dem,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,LARRY COURCELLE,Dem,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,"BRIAN ""BC"" COLLAMORE",GOP,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,JOSHUA C. TERENZINI,GOP,0%,0,0,275,false
STATE SENATOR,RUTLAND SENATE,TERRY K. WILLIAMS,GOP,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,PAUL VALLERAND,Other,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,ANN CUMMINGS,Dem,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,ANTHONY POLLINA,Prog,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,ANDREW PERCHLIK,Dem,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,DAWNMARIE TOMASI,GOP,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,DWAYNE TUCKER,GOP,0%,0,0,275,false
STATE SENATOR,WASHINGTON SENATE,KEN ALGER,GOP,0%,0,0,275,false
STATE SENATOR,WINDHAM SENATE,TYLER COLFORD,Other,0%,0,0,275,false
STATE SENATOR,WINDHAM SENATE,BECCA BALINT,Dem,0%,0,0,275,false
STATE SENATOR,WINDHAM SENATE,JEANETTE WHITE,Dem,0%,0,0,275,false
STATE SENATOR,WINDHAM SENATE,MARCUS R. PARISH,GOP,0%,0,0,275,false
STATE SENATOR,WINDHAM SENATE,JOHN LYDDY,GOP,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,KEITH STERN,Other,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,MASON WADE,Other,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,DOUG WILBERDING,Other,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,ALISON H. CLARKSON,Dem,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,"RICHARD J. ""DICK"" MCCORMACK",Dem,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,ALICE W. NITKA,Dem,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,JACK WILLIAMS,GOP,0%,0,0,275,false
STATE SENATOR,WINDSOR SENATE,MICHAEL JASINSKI SR,GOP,0%,0,0,275,false
STATE TREASURER," ",ALEX WRIGHT,Other,0%,0,0,275,false
STATE TREASURER," ",BETH PEARCE,Dem,0%,0,0,275,false
STATE TREASURER," ",CRIS ERICSON,Prog,0%,0,0,275,false
STATE TREASURER," ",CAROLYN WHITNEY BRANAGAN,GOP,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ","ROQUE ""ROCKY"" DE LA FUENTE and DARCY G. RICHARDSON",ALLIANCE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",BRIAN CARROLL and AMAR PATEL,AMERICAN SOLIDARITY,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",BLAKE HUBER and FRANK ATWOOD,APPROVAL VOTING,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",GARY SWING and DAVID OLSZTA,BOILING FROG,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",JEROME SEGAL and JOHN DE GRAAF,BREAD AND ROSES,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",KEITH MCCORMIC and SAM BLASIAK,BULL MOOSE,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",CHRISTOPHER LAFONTAINE and MICHAEL SPEED,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",DON BLANKENSHIP and BILL MOHR,CONSTITUTION,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",HOWIE HAWKINS and ANGELA WALKER,GREEN ,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",H. BROOKE PAIGE and THOMAS JAMES WITMAN,GRUMPY OLD PATRIOTS,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",KANYE WEST and MICHELLE TIDBALL,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",KYLE KENLEY KOPITKE and TAJA YVONNE IWANOW,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ","JO JORGENSEN and JEREMY ""SPIKE"" COHEN",Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",GLORIA LARIVA and SUNIL FREEMAN,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",PHIL COLLINS and BILLY JOE PARKER,PROHIBITION ,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",RICHARD DUNCAN and MITCH BUPP,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",ZACHARY SCALF and MATTHEW LYDA,Other,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",ALYSON KENNEDY and MALCOLM JARRETT,SOCIALIST WORKERS,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",BROCK PIERCE and KARLA BALLARD,UNAFFILIATED,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",JOSEPH R. BIDEN and KAMALA D. HARRIS,Dem,0%,0,0,275,false
US PRESIDENT AND VICE PRESIDENT," ",DONALD J. TRUMP and MICHAEL R. PENCE,GOP,0%,0,0,275,false
